Date,Close
2012-01-03,1277.06006
2012-01-04,1277.30005
2012-01-05,1281.06006
2012-01-06,1277.81006
2012-01-09,1280.69995
2012-01-10,1292.07996
2012-01-11,1292.47998
2012-01-12,1295.5
2012-01-13,1289.08997
2012-01-17,1293.67004
2012-01-18,1308.04004
2012-01-19,1314.5
2012-01-20,1315.38
2012-01-23,1316.0
2012-01-24,1314.65002
2012-01-25,1326.06006
2012-01-26,1318.43005
2012-01-27,1316.32996
2012-01-30,1313.01001
2012-01-31,1312.41003
2012-02-01,1324.08997
2012-02-02,1325.54004
2012-02-03,1344.90002
2012-02-06,1344.32996
2012-02-07,1347.05005
2012-02-08,1349.95996
2012-02-09,1351.94995
2012-02-10,1342.64001
2012-02-13,1351.77002
2012-02-14,1350.5
2012-02-15,1343.22998
2012-02-16,1358.04004
2012-02-17,1361.22998
2012-02-21,1362.20996
2012-02-22,1357.66003
2012-02-23,1363.45996
2012-02-24,1365.73999
2012-02-27,1367.58997
2012-02-28,1372.18005
2012-02-29,1365.68005
2012-03-01,1374.08997
2012-03-02,1369.63
2012-03-05,1364.32996
2012-03-06,1343.35999
2012-03-07,1352.63
2012-03-08,1365.91003
2012-03-09,1370.87
2012-03-12,1371.08997
2012-03-13,1395.94995
2012-03-14,1394.28003
2012-03-15,1402.59998
2012-03-16,1404.17004
2012-03-19,1409.75
2012-03-20,1405.52002
2012-03-21,1402.89001
2012-03-22,1392.78003
2012-03-23,1397.10999
2012-03-26,1416.51001
2012-03-27,1412.52002
2012-03-28,1405.54004
2012-03-29,1403.28003
2012-03-30,1408.46997
2012-04-02,1419.04004
2012-04-03,1413.38
2012-04-04,1398.95996
2012-04-05,1398.07996
2012-04-09,1382.19995
2012-04-10,1358.58997
2012-04-11,1368.70996
2012-04-12,1387.56995
2012-04-13,1370.26001
2012-04-16,1369.56995
2012-04-17,1390.78003
2012-04-18,1385.14001
2012-04-19,1376.92004
2012-04-20,1378.53003
2012-04-23,1366.93994
2012-04-24,1371.96997
2012-04-25,1390.68994
2012-04-26,1399.97998
2012-04-27,1403.35999
2012-04-30,1397.91003
2012-05-01,1405.81995
2012-05-02,1402.31006
2012-05-03,1391.56995
2012-05-04,1369.09998
2012-05-07,1369.57996
2012-05-08,1363.71997
2012-05-09,1354.57996
2012-05-10,1357.98999
2012-05-11,1353.39001
2012-05-14,1338.34998
2012-05-15,1330.66003
2012-05-16,1324.80005
2012-05-17,1304.85999
2012-05-18,1295.21997
2012-05-21,1315.98999
2012-05-22,1316.63
2012-05-23,1318.85999
2012-05-24,1320.68005
2012-05-25,1317.81995
2012-05-29,1332.42004
2012-05-30,1313.31995
